student_id,gender,archetype,Algorithm_&_Program_Design_Minor1,Algorithm_&_Program_Design_Minor2,Algorithm_&_Program_Design_EndSem,Database_Management_Systems_Minor1,Database_Management_Systems_Minor2,Database_Management_Systems_EndSem,Programming_with_Java_Minor1,Programming_with_Java_Minor2,Programming_with_Java_EndSem,Digital_Logic_&_Computer_Architecture_Minor1,Digital_Logic_&_Computer_Architecture_Minor2,Digital_Logic_&_Computer_Architecture_EndSem,Software_Engineering_Minor1,Software_Engineering_Minor2,Software_Engineering_EndSem,Theoretical_Computer_Science_Minor1,Theoretical_Computer_Science_Minor2,Theoretical_Computer_Science_EndSem,Advanced_Data_Structures_Minor1,Advanced_Data_Structures_Minor2,Advanced_Data_Structures_EndSem,Data_Communication_&_Networks_Minor1,Data_Communication_&_Networks_Minor2,Data_Communication_&_Networks_EndSem,Operating_Systems_&_Shell_Programming_Minor1,Operating_Systems_&_Shell_Programming_Minor2,Operating_Systems_&_Shell_Programming_EndSem,AI_&_ML_Minor1,AI_&_ML_Minor2,AI_&_ML_EndSem,Software_Testing_&_QA_Minor1,Software_Testing_&_QA_Minor2,Software_Testing_&_QA_EndSem,Analysis_&_Design_of_Algorithms_Minor1,Analysis_&_Design_of_Algorithms_Minor2,Analysis_&_Design_of_Algorithms_EndSem,Data_Mining_&_Warehousing_Minor1,Data_Mining_&_Warehousing_Minor2,Data_Mining_&_Warehousing_EndSem,Information_&_Cybersecurity_Minor1,Information_&_Cybersecurity_Minor2,Information_&_Cybersecurity_EndSem,Cloud_Computing_Minor1,Cloud_Computing_Minor2,Cloud_Computing_EndSem,Algorithm_&_Program_Design_IsWeak,Database_Management_Systems_IsWeak,Programming_with_Java_IsWeak,Digital_Logic_&_Computer_Architecture_IsWeak,Software_Engineering_IsWeak,Theoretical_Computer_Science_IsWeak,Advanced_Data_Structures_IsWeak,Data_Communication_&_Networks_IsWeak,Operating_Systems_&_Shell_Programming_IsWeak,AI_&_ML_IsWeak,Software_Testing_&_QA_IsWeak,Analysis_&_Design_of_Algorithms_IsWeak,Data_Mining_&_Warehousing_IsWeak,Information_&_Cybersecurity_IsWeak,Cloud_Computing_IsWeak
MCA23_1100,Female,specializedai,18,17,44,17,20,55,0,0,0,17,9,36,14,14,46,5,8,47,0,0,0,17,14,59,0,0,0,0,0,0,0,0,0,18,14,60,18,16,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MCA23_1101,Female,forced_weak,4,4,18,4,3,32,0,0,0,3,3,40,0,0,0,0,1,19,4,4,21,0,0,0,1,7,14,4,9,22,0,0,0,0,0,0,8,1,25,5,4,10,0,0,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1102,Female,forced_weak,0,0,0,0,0,0,0,0,0,2,10,20,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,4,2,21,0,0,0,0,0,0,7,8,28,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1103,Female,average,15,9,36,15,15,42,0,0,0,10,10,60,17,17,52,17,10,47,0,0,0,0,0,0,0,0,0,17,5,27,12,19,20,0,0,0,10,9,22,16,13,54,15,10,28,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
MCA23_1104,Female,struggling,11,10,19,5,2,22,8,9,21,4,9,13,8,6,22,6,9,24,8,8,12,3,3,22,4,3,20,0,0,0,8,6,23,7,6,23,6,0,27,0,0,0,8,1,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1105,Female,specializedai,0,0,0,17,19,58,15,16,20,0,0,0,0,0,0,16,8,43,16,17,52,0,0,0,0,0,0,17,19,60,0,0,0,20,18,41,18,14,60,13,12,41,17,15,50,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
MCA23_1106,Female,specializedai,0,0,0,16,18,52,0,0,0,0,0,0,0,0,0,16,10,48,18,19,56,0,0,0,15,16,57,0,0,0,0,0,0,11,9,40,18,20,55,12,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
MCA23_1107,Male,forced_weak,3,4,32,0,0,0,9,2,20,0,0,0,0,0,0,2,2,3,8,8,6,9,7,19,1,3,23,2,2,8,4,2,19,6,6,35,6,4,35,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1108,Female,average,0,0,0,0,0,0,20,20,54,20,20,23,15,15,42,11,7,34,10,16,37,17,20,31,8,15,46,13,9,43,0,0,0,16,17,34,15,16,38,17,8,35,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
MCA23_1109,Female,struggling,8,10,33,7,6,25,3,8,28,2,3,12,0,0,0,9,10,19,12,0,25,0,0,0,0,0,0,0,0,0,8,1,15,10,9,31,0,0,0,7,10,22,1,6,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1110,Male,average,17,13,46,14,12,20,9,9,27,15,20,20,6,14,37,0,0,0,15,17,50,8,16,46,0,0,0,0,0,0,17,14,25,15,12,38,0,0,0,14,14,43,10,14,29,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
MCA23_1111,Male,highachiever,15,14,53,0,0,0,19,14,58,17,15,47,16,15,60,15,14,56,16,14,45,20,16,60,17,17,60,0,0,0,15,15,60,15,16,53,16,16,53,15,16,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1112,Male,average,0,0,0,15,10,48,9,20,34,8,15,48,14,15,46,0,0,0,8,13,47,6,15,35,11,14,24,10,19,20,0,0,0,13,19,26,10,16,47,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
MCA23_1113,Female,average,0,0,0,12,15,29,16,14,46,15,10,36,0,0,0,19,16,28,0,0,0,6,10,24,12,14,53,7,11,43,15,18,21,0,0,0,0,0,0,0,0,0,11,8,36,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
MCA23_1114,Male,specializedai,15,8,47,19,17,52,17,16,37,11,16,30,13,18,55,10,7,32,18,15,60,0,0,0,0,0,0,18,15,57,0,0,0,8,11,48,17,18,55,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0
MCA23_1115,Male,highachiever,15,14,56,17,19,55,18,16,49,15,17,48,18,16,53,16,14,56,0,0,0,18,15,51,0,0,0,15,16,60,19,14,60,18,14,45,15,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1116,Male,average,12,17,20,10,13,38,12,8,59,15,10,34,0,0,0,14,11,57,0,0,0,0,0,0,0,0,0,10,15,45,8,10,22,0,0,0,5,13,51,0,0,0,15,20,58,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
MCA23_1117,Male,forced_weak,2,10,16,0,1,22,0,0,0,8,7,5,0,9,6,3,4,3,5,0,14,10,4,19,0,0,0,7,6,19,5,9,27,0,0,0,3,0,16,0,0,0,10,2,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1118,Male,struggling,0,0,0,5,9,20,0,0,0,4,2,25,6,4,29,0,0,0,7,12,24,4,2,18,0,0,0,7,9,23,0,0,0,7,7,16,0,0,0,8,6,17,6,2,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1119,Female,struggling,3,3,14,4,4,12,0,0,0,0,0,0,5,9,22,0,0,0,7,7,10,0,0,0,0,0,0,8,7,26,9,8,21,0,0,0,0,0,0,7,2,15,7,0,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1120,Male,average,0,0,0,0,0,0,0,0,0,11,12,58,13,17,36,0,0,0,10,16,37,0,0,0,0,0,0,13,8,42,11,9,40,15,16,31,0,0,0,20,16,51,15,7,20,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
MCA23_1121,Female,average,14,12,20,18,20,49,0,0,0,0,0,0,14,15,31,19,10,33,16,12,40,0,0,0,15,8,60,10,13,27,9,6,32,11,18,52,15,7,40,15,9,28,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
MCA23_1122,Female,specializedai,0,0,0,17,17,55,0,0,0,15,18,41,20,14,20,13,18,26,0,0,0,0,0,0,12,10,37,18,19,57,10,18,46,5,17,40,17,19,55,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
MCA23_1123,Female,struggling,4,7,20,5,3,15,0,0,0,9,6,14,6,6,26,4,3,17,0,0,0,0,0,0,0,0,0,7,3,32,6,8,20,5,6,35,0,0,0,1,12,25,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1124,Male,forced_weak,0,7,5,0,0,0,7,2,33,7,5,19,2,1,11,3,6,10,0,0,0,0,0,0,4,8,11,1,0,17,6,6,18,0,0,0,0,0,0,0,3,9,4,2,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1125,Male,average,14,12,42,0,0,0,16,12,46,0,0,0,13,14,45,13,13,28,0,0,0,15,6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,49,10,18,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
MCA23_1126,Male,average,9,12,48,0,0,0,10,17,39,0,0,0,8,20,37,11,17,39,15,12,47,12,17,51,6,15,58,15,20,30,14,15,34,0,0,0,0,0,0,0,0,0,13,12,29,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
MCA23_1127,Male,average,0,0,0,11,14,36,0,0,0,9,10,54,14,13,42,0,0,0,10,11,31,5,11,40,12,10,41,0,0,0,13,11,43,7,8,38,0,0,0,0,0,0,7,18,32,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1
MCA23_1128,Female,forced_weak,5,4,15,9,0,5,0,0,0,6,4,29,7,5,29,1,0,24,4,2,17,0,0,0,7,7,16,6,9,29,7,0,26,0,0,0,0,0,0,0,10,8,3,7,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1129,Male,average,16,12,42,0,0,0,15,18,44,14,14,30,18,13,38,0,0,0,8,10,38,0,0,0,9,16,37,9,16,30,13,8,54,0,0,0,0,0,0,9,13,60,10,13,49,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
MCA23_1130,Female,forced_weak,6,0,24,1,3,20,3,4,21,0,5,13,1,0,4,5,5,25,10,9,29,0,0,0,9,5,22,0,0,0,0,3,16,4,7,9,9,0,25,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1131,Male,average,0,0,0,0,0,0,15,17,20,5,14,41,0,0,0,0,0,0,13,13,50,0,0,0,16,16,35,14,9,20,0,0,0,14,11,37,5,13,48,11,15,48,13,16,32,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
MCA23_1132,Female,average,13,17,28,11,18,20,7,11,39,0,0,0,14,16,26,10,13,41,0,0,0,0,0,0,0,0,0,0,0,0,13,19,40,14,11,36,15,18,22,20,15,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1133,Male,average,6,15,25,0,0,0,0,0,0,0,0,0,11,13,41,11,19,37,0,0,0,9,16,59,14,15,51,18,16,26,8,12,53,8,13,50,9,11,24,10,10,38,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0
MCA23_1134,Female,average,11,14,58,0,0,0,7,17,54,0,0,0,0,0,0,13,16,39,9,13,49,0,0,0,0,0,0,11,14,28,0,0,0,0,0,0,14,20,36,16,14,29,12,13,33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
MCA23_1135,Male,specializedai,17,13,38,18,17,52,12,11,42,0,0,0,0,0,0,0,0,0,16,14,53,0,0,0,7,13,43,16,15,54,0,0,0,0,0,0,0,0,0,14,14,29,18,14,57,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
MCA23_1136,Female,average,0,0,0,11,17,52,18,12,38,13,9,42,0,0,0,0,0,0,0,0,0,16,13,39,5,14,32,0,0,0,0,0,0,0,0,0,0,0,0,9,11,38,10,17,40,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
MCA23_1137,Female,forced_weak,9,5,23,0,0,0,5,7,34,0,0,0,3,5,17,6,2,0,0,0,0,0,0,0,0,0,0,2,10,35,10,2,21,0,0,0,2,5,39,0,0,0,0,4,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1138,Female,forced_weak,0,0,0,0,0,0,0,5,12,0,0,0,1,2,16,0,0,0,0,8,30,2,3,37,3,3,21,6,7,30,0,0,0,6,7,12,1,1,24,0,0,0,5,2,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1139,Female,average,0,0,0,9,10,55,0,0,0,14,16,52,0,0,0,16,12,37,10,8,20,8,12,43,0,0,0,0,0,0,9,12,34,9,8,32,20,19,41,0,0,0,11,5,57,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
MCA23_1140,Female,average,16,13,34,12,14,42,20,10,47,13,20,31,12,12,20,13,14,33,5,17,57,18,14,38,0,0,0,13,16,41,0,0,0,0,0,0,0,0,0,0,0,0,15,15,42,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
MCA23_1141,Female,forced_weak,8,1,21,1,5,19,2,8,11,2,0,17,0,0,0,10,9,11,4,3,9,4,5,16,6,4,14,5,7,23,0,0,0,2,5,26,2,4,21,1,4,4,9,0,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1142,Male,forced_weak,0,0,0,4,0,31,4,5,10,6,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,0,0,0,0,0,0,1,1,27,1,6,33,3,2,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1143,Male,average,0,0,0,15,10,37,14,11,39,5,11,45,12,11,40,0,0,0,11,13,46,14,8,28,15,15,42,16,20,53,20,17,39,10,15,53,0,0,0,16,13,55,9,11,44,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
MCA23_1144,Female,forced_weak,7,5,19,4,5,14,9,0,5,0,0,0,7,2,24,4,6,21,0,0,0,0,0,0,0,0,0,0,5,25,10,0,0,7,6,23,0,0,0,0,0,13,2,6,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1145,Female,average,10,5,49,0,0,0,0,0,0,17,8,21,0,0,0,0,0,0,16,16,36,12,16,55,13,15,35,12,15,40,0,0,0,18,19,53,8,17,48,20,15,43,14,20,38,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
MCA23_1146,Female,highachiever,19,17,53,17,16,60,0,0,0,15,16,53,0,0,0,0,0,0,0,0,0,19,17,58,0,0,0,0,0,0,0,0,0,20,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1147,Male,highachiever,15,19,49,20,14,50,0,0,0,15,14,57,16,14,52,18,18,49,18,15,52,0,0,0,15,16,60,0,0,0,0,0,0,16,18,60,0,0,0,0,0,0,17,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1148,Female,specializedai,9,15,40,17,16,48,16,16,42,15,20,34,14,9,57,13,5,36,19,18,60,0,0,0,14,10,20,17,14,58,11,10,31,13,17,37,0,0,0,12,5,36,16,15,51,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
MCA23_1149,Female,specializedai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,34,0,0,0,0,0,0,0,0,0,0,0,0,15,9,58,19,20,42,17,16,53,14,10,45,17,18,58,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
MCA23_1150,Female,average,11,16,33,15,10,35,0,0,0,0,0,0,0,0,0,8,17,53,0,0,0,0,0,0,0,0,0,6,14,50,0,0,0,0,0,0,12,11,38,14,13,41,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
MCA23_1151,Male,forced_weak,3,1,19,0,0,0,8,7,26,2,3,11,6,3,31,3,6,40,10,3,35,0,0,0,5,0,16,0,0,0,4,4,20,0,0,0,3,4,26,3,3,5,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1152,Female,highachiever,19,15,60,18,18,48,0,0,0,16,17,60,16,19,60,0,0,0,19,14,60,15,18,53,0,0,0,16,17,54,15,16,56,15,15,58,17,16,51,0,0,0,17,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1153,Male,average,14,16,34,16,20,47,14,11,27,9,19,38,0,0,0,0,0,0,18,12,49,13,12,47,10,14,29,7,13,31,18,19,29,12,20,43,12,12,42,15,13,55,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
MCA23_1154,Female,average,13,20,25,0,0,0,11,12,46,0,0,0,0,0,0,15,11,60,0,0,0,14,16,26,13,16,43,15,19,20,0,0,0,0,0,0,16,14,41,20,7,33,14,18,30,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
MCA23_1155,Male,forced_weak,0,0,0,7,6,3,0,0,0,0,2,19,5,5,25,4,2,20,0,4,30,1,3,17,7,4,35,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,7,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1156,Male,struggling,6,7,33,0,0,0,0,0,0,0,0,0,0,0,0,8,11,25,6,5,19,0,0,0,1,0,15,0,0,0,7,7,27,10,4,19,5,10,27,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1157,Female,struggling,5,1,17,6,6,19,6,5,13,5,8,30,0,0,0,5,4,35,4,7,13,12,8,23,12,6,27,10,5,21,0,0,0,5,8,14,9,7,11,9,7,18,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1158,Male,specializedai,0,0,0,17,16,51,12,9,31,17,18,31,16,11,33,18,9,22,17,15,54,16,17,60,0,0,0,18,17,55,13,12,23,0,0,0,18,14,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1159,Male,struggling,8,7,16,8,3,21,0,0,0,0,0,0,5,6,35,11,5,25,0,0,0,6,6,35,8,4,24,6,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
MCA23_1160,Male,specializedai,9,15,35,17,15,52,0,0,0,0,0,0,9,14,43,0,0,0,16,17,55,0,0,0,8,20,36,16,17,56,0,0,0,0,0,0,19,17,55,17,18,36,20,16,54,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
MCA23_1161,Female,specializedai,9,10,42,0,0,0,0,0,0,13,20,48,13,15,20,0,0,0,17,17,53,17,15,60,12,14,47,18,14,59,12,11,28,0,0,0,16,16,60,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MCA23_1162,Female,highachiever,0,0,0,0,0,0,15,16,49,18,14,52,17,15,48,15,17,48,16,15,45,17,18,59,0,0,0,18,14,59,17,14,55,17,16,49,0,0,0,18,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1163,Male,specializedai,13,10,30,18,14,55,15,9,31,16,6,50,0,0,0,11,15,32,0,0,0,17,14,55,8,16,37,16,14,55,13,10,42,17,18,57,16,16,53,0,0,0,19,14,50,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
MCA23_1164,Male,specializedai,12,17,25,0,0,0,14,13,41,0,0,0,0,0,0,5,14,51,18,17,58,0,0,0,15,17,53,16,19,50,0,0,0,16,5,30,17,18,58,13,14,52,17,16,55,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
MCA23_1165,Male,average,0,0,0,0,0,0,9,16,49,0,0,0,0,0,0,0,0,0,13,19,35,11,19,41,15,10,35,6,14,32,14,12,58,14,14,32,13,16,24,17,17,42,17,11,24,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
MCA23_1166,Female,average,0,0,0,18,10,42,19,16,50,17,12,29,0,0,0,0,0,0,0,0,0,9,20,40,11,9,44,16,12,20,0,0,0,0,0,0,15,15,60,10,19,20,15,20,29,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
MCA23_1167,Male,highachiever,20,19,46,0,0,0,17,17,51,0,0,0,0,0,0,0,0,0,17,16,60,0,0,0,20,19,60,17,14,53,15,14,50,18,14,47,15,19,53,19,17,49,17,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1168,Male,average,0,0,0,13,12,36,0,0,0,14,16,34,17,11,36,5,11,26,0,0,0,11,8,31,0,0,0,0,0,0,14,12,46,12,8,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
MCA23_1169,Female,average,9,16,30,16,18,26,0,0,0,15,11,46,0,0,0,0,0,0,0,0,0,11,12,37,13,13,46,12,16,48,12,7,44,0,0,0,12,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MCA23_1170,Male,forced_weak,1,4,23,0,0,0,1,8,23,0,0,0,7,9,23,3,4,9,9,6,18,6,4,16,0,0,0,8,3,12,7,5,0,2,6,12,0,0,0,0,0,0,7,6,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1171,Female,struggling,0,0,0,0,0,0,4,5,33,5,2,12,0,0,0,7,11,25,0,0,0,10,9,16,8,1,16,11,5,17,3,6,14,4,10,14,0,0,0,3,4,35,9,4,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1172,Male,average,13,20,20,11,16,48,0,0,0,17,10,30,0,0,0,0,0,0,9,12,47,17,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,41,13,18,29,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
MCA23_1173,Female,average,15,16,47,0,0,0,0,0,0,0,0,0,15,20,40,11,13,40,13,13,45,16,13,40,0,0,0,0,0,0,12,16,38,11,17,36,16,12,27,12,17,35,14,9,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
MCA23_1174,Female,forced_weak,0,0,0,2,6,28,3,9,34,7,1,27,3,3,24,6,6,26,4,0,40,3,2,7,5,5,18,9,6,9,10,0,18,2,6,26,0,0,0,9,7,15,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1175,Female,highachiever,0,0,0,18,17,54,18,14,58,16,15,45,18,14,53,0,0,0,15,14,59,19,18,53,15,14,55,16,16,51,15,18,47,18,17,50,0,0,0,0,0,0,15,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1176,Female,average,10,6,33,18,15,41,0,0,0,0,0,0,0,0,0,8,14,50,10,11,40,0,0,0,5,10,47,9,9,36,0,0,0,0,0,0,8,18,20,16,18,55,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1
MCA23_1177,Female,average,10,16,43,0,0,0,17,11,42,12,9,36,18,17,52,9,11,37,12,10,40,14,18,40,14,10,24,0,0,0,0,0,0,9,10,45,0,0,0,18,16,39,10,20,35,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
MCA23_1178,Female,average,15,14,47,10,5,46,12,18,44,20,19,37,6,10,30,0,0,0,18,10,26,0,0,0,17,17,22,10,12,59,0,0,0,0,0,0,0,0,0,0,0,0,8,14,37,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
MCA23_1179,Female,specializedai,16,10,28,18,16,52,18,20,20,5,15,20,17,18,39,13,12,32,0,0,0,18,20,55,15,17,30,0,0,0,13,13,27,13,14,37,18,18,50,9,5,60,16,20,57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MCA23_1180,Male,highachiever,15,17,55,15,15,53,0,0,0,0,0,0,19,19,56,15,14,55,0,0,0,0,0,0,0,0,0,16,18,49,0,0,0,0,0,0,18,17,52,0,0,0,15,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1181,Male,forced_weak,0,0,0,1,1,29,0,0,34,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,3,14,4,2,20,0,0,0,5,6,34,0,3,22,4,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1182,Male,average,20,11,34,11,16,35,0,0,0,0,0,0,12,14,32,0,0,0,0,0,0,13,13,33,15,13,32,12,11,40,18,14,42,18,15,44,0,0,0,0,0,0,9,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MCA23_1183,Female,struggling,10,7,25,7,6,18,2,4,19,9,9,13,6,4,20,0,0,21,9,8,16,0,0,0,0,0,0,5,2,14,0,0,0,11,7,18,7,10,19,2,12,23,12,6,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1184,Male,average,17,17,41,10,18,46,0,0,0,0,0,0,0,0,0,0,0,0,17,20,48,12,20,31,8,16,47,14,15,27,0,0,0,17,15,32,13,13,36,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
MCA23_1185,Female,highachiever,20,15,53,0,0,0,15,17,60,0,0,0,15,14,51,19,16,60,15,14,53,0,0,0,19,16,55,0,0,0,0,0,0,0,0,0,15,14,54,20,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1186,Female,highachiever,0,0,0,18,14,58,0,0,0,0,0,0,15,16,57,0,0,0,0,0,0,0,0,0,18,15,47,17,15,45,0,0,0,0,0,0,18,16,52,18,16,50,15,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1187,Male,highachiever,0,0,0,17,18,54,18,14,57,15,19,60,0,0,0,16,17,52,15,16,53,17,16,60,15,15,55,15,14,54,16,14,54,0,0,0,0,0,0,0,0,0,16,19,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1188,Female,specializedai,18,12,60,17,18,54,0,0,0,9,10,42,10,15,45,0,0,0,18,14,53,0,0,0,5,16,48,0,0,0,7,8,60,12,15,24,19,18,56,0,0,0,18,15,59,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
MCA23_1189,Male,specializedai,8,12,29,18,18,60,15,12,29,13,10,51,11,19,42,10,15,38,17,19,56,17,19,60,9,12,34,20,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MCA23_1190,Male,average,0,0,0,0,0,0,10,18,38,15,20,21,10,13,41,0,0,0,12,18,43,0,0,0,0,0,0,15,15,29,0,0,0,0,0,0,11,6,44,14,14,31,15,9,47,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
MCA23_1191,Male,highachiever,0,0,0,17,17,56,16,14,56,0,0,0,16,17,53,0,0,0,15,18,45,15,14,60,17,15,54,19,14,54,15,14,60,15,14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCA23_1192,Female,forced_weak,1,9,19,3,8,22,4,9,33,0,0,0,0,0,0,10,8,32,4,5,25,8,7,27,0,0,0,7,3,40,0,0,0,0,0,0,2,6,28,3,3,23,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCA23_1193,Female,average,17,16,45,20,16,49,6,17,43,0,0,0,14,14,57,0,0,0,18,14,34,0,0,0,9,18,49,0,0,0,14,16,37,0,0,0,20,13,45,0,0,0,7,10,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MCA23_1194,Male,struggling,0,0,0,6,7,20,7,8,6,0,0,0,2,3,26,0,0,0,0,0,0,8,8,22,8,6,6,6,2,22,0,0,0,0,0,0,0,0,0,3,6,26,10,5,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
